                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0762,                 2.2854,                 1.4405,                0.26023,                0.27511,                0.20103,                0.09291,                 1.8948,                 3.2849,                 1.9998,             0.00055398,             0.00055398,             0.00055398
                      2,                 1.1491,                 1.9085,                 1.4748,                0.38148,                0.44068,                0.37167,                 0.2196,                  1.479,                 2.1855,                 1.6695,               0.001073,               0.001073,               0.001073
                      3,                 1.1051,                 1.7935,                 1.4425,                0.59746,                0.44327,                0.49734,                0.30928,                 1.3167,                 2.1069,                 1.5303,              0.0015554,              0.0015554,              0.0015554
                      4,                 1.0988,                 1.7614,                 1.4383,                0.52715,                0.44134,                0.48993,                0.30643,                 1.3071,                 1.9248,                 1.4497,               0.001502,               0.001502,               0.001502
                      5,                 1.0261,                 1.6442,                 1.3906,                0.64559,                0.45077,                0.51345,                 0.3348,                 1.2523,                 1.9287,                 1.4262,               0.001502,               0.001502,               0.001502
                      6,                0.98995,                  1.564,                 1.3646,                 0.5964,                0.52968,                0.56775,                0.37022,                 1.1856,                 1.6284,                 1.3513,               0.001447,               0.001447,               0.001447
                      7,                0.95029,                 1.4949,                 1.3326,                0.61827,                0.53782,                0.58735,                0.39275,                  1.097,                 1.6048,                 1.2694,              0.0013919,              0.0013919,              0.0013919
                      8,                 0.9279,                 1.4506,                 1.3235,                0.67767,                0.60682,                0.69741,                0.49657,                 1.0056,                 1.3478,                 1.1922,              0.0013369,              0.0013369,              0.0013369
                      9,                0.91511,                 1.4151,                 1.3134,                0.69607,                  0.601,                0.67781,                0.49159,                0.98696,                 1.3425,                 1.1603,              0.0012819,              0.0012819,              0.0012819
                     10,                0.90342,                 1.3832,                  1.299,                0.74896,                0.60797,                0.70955,                0.50755,                0.99873,                 1.3154,                 1.1864,              0.0012269,              0.0012269,              0.0012269
                     11,                0.87675,                 1.3337,                 1.2846,                0.68587,                0.61772,                0.67739,                0.48636,                 1.0261,                 1.3372,                 1.2234,              0.0011719,              0.0011719,              0.0011719
                     12,                0.85682,                 1.2927,                  1.269,                0.69759,                0.65707,                0.72237,                0.52593,                0.95013,                 1.2284,                 1.1298,              0.0011169,              0.0011169,              0.0011169
                     13,                0.84547,                 1.2892,                 1.2629,                0.76066,                0.65348,                0.75023,                0.56268,                0.89079,                 1.1396,                 1.0885,              0.0010619,              0.0010619,              0.0010619
                     14,                0.82714,                 1.2565,                 1.2512,                0.71627,                0.64869,                0.74175,                0.56167,                0.85097,                  1.196,                 1.0538,              0.0010069,              0.0010069,              0.0010069
                     15,                0.82266,                 1.2347,                 1.2482,                0.78549,                0.68268,                0.77573,                0.58602,                0.87406,                 1.0843,                 1.0678,             0.00095186,             0.00095186,             0.00095186
                     16,                0.81806,                  1.204,                 1.2448,                0.76578,                0.69158,                0.77431,                0.58548,                0.87221,                 1.0637,                 1.0718,             0.00089685,             0.00089685,             0.00089685
                     17,                0.80391,                 1.1798,                 1.2321,                0.79574,                0.68231,                0.78369,                 0.6031,                0.83267,                 1.0872,                 1.0243,             0.00084184,             0.00084184,             0.00084184
                     18,                0.79071,                 1.1616,                 1.2282,                0.81219,                0.67751,                0.78869,                0.61264,                0.82547,                 1.0439,                 1.0257,             0.00078682,             0.00078682,             0.00078682
                     19,                0.78381,                 1.1434,                  1.218,                0.81837,                0.69191,                0.79632,                0.62095,                0.81279,                0.98772,                 1.0164,             0.00073181,             0.00073181,             0.00073181
                     20,                0.77694,                 1.1186,                 1.2166,                0.82122,                0.67644,                0.78357,                0.60396,                0.84581,                 1.0628,                 1.0289,              0.0006768,              0.0006768,              0.0006768
                     21,                0.83532,                 1.0102,                 1.3007,                0.81019,                0.70682,                0.81031,                0.63708,                0.78975,                0.92549,                0.99241,             0.00062179,             0.00062179,             0.00062179
                     22,                0.80057,                0.94555,                 1.2805,                0.78719,                0.69789,                0.80184,                0.63457,                0.76896,                 1.0229,                0.96405,             0.00056678,             0.00056678,             0.00056678
                     23,                0.78696,                0.92533,                 1.2655,                0.80925,                0.71621,                 0.8158,                0.64827,                0.76812,                0.95953,                0.96173,             0.00051177,             0.00051177,             0.00051177
                     24,                0.77776,                 0.8997,                 1.2609,                0.83665,                0.73505,                0.83189,                0.66067,                0.75759,                0.87697,                0.97018,             0.00045676,             0.00045676,             0.00045676
                     25,                0.76205,                0.85659,                 1.2474,                0.82184,                0.73582,                0.82489,                0.66472,                0.74423,                0.89578,                0.95262,             0.00040175,             0.00040175,             0.00040175
                     26,                0.74986,                0.83598,                 1.2366,                0.84098,                0.73467,                 0.8293,                0.67034,                0.73608,                0.86444,                0.94605,             0.00034674,             0.00034674,             0.00034674
                     27,                0.73346,                0.81072,                 1.2279,                0.80773,                0.74277,                0.82582,                  0.667,                0.73116,                0.89262,                0.93338,             0.00029172,             0.00029172,             0.00029172
                     28,                0.71721,                0.79196,                 1.2173,                0.83743,                0.73791,                0.83329,                0.67639,                0.72539,                0.84669,                0.93193,             0.00023671,             0.00023671,             0.00023671
                     29,                0.70838,                0.77181,                 1.2103,                0.83024,                0.75679,                0.84105,                0.68493,                0.72069,                0.82779,                0.92438,              0.0001817,              0.0001817,              0.0001817
                     30,                0.70344,                0.75238,                 1.2066,                0.83019,                0.75775,                0.84541,                0.69183,                0.70492,                0.81074,                0.91538,             0.00012669,             0.00012669,             0.00012669
